PC1 PC2 PC3 PC4 PC5 PC6
X100072_1 -0.0445742000751336 0.17242020985423 0.25625288022482 0.353670290717785 0.0307591951988056 -0.215885272480112
X100079_1 0.21906088440605 0.114607211815589 0.0721234162688046 -0.0718449715071492 0.0416509312422289 0.18892870518524
X100082_1 0.0930200391335288 0.153947853615563 0.0553853603397194 -0.0185040211908465 -0.0671708447004485 -0.063468614243773
X100085_1 0.0815905176946406 0.31639132129791 0.227861776380808 0.122240404633062 0.0138625657702065 -0.105457490490755
X100124_1 0.190466082950413 -0.0237426188107653 -0.101314799638135 -0.117786485195925 0.0937841746060801 -0.292540512152908
X100133_1 -0.0206138042304349 -0.0135686426185206 0.115484210897284 0.0851497940973431 0.316658839019137 -0.0234694021303406
X100148_1 0.121880468931338 -0.0583284215595323 0.0256510448631457 -0.102336502532272 0.0621162916603779 -0.203980987170025
X100318_1 0.207676384925232 -0.0648743127887508 0.0469709353143375 -0.0725847425039732 -0.0104295319297486 -0.141950402093257
X100416_1 0.0529257325616917 -0.120027332624687 0.0819459872345914 0.0844754607546529 -0.0185443515284768 -0.373302736305206
X100502_1 0.0637875278015843 0.276963996035414 0.100226304216059 -0.0980095725231184 -0.178057623137922 0.0399325320461408
X100516_1 0.281636610645354 -0.0120940178458261 0.101101425068513 0.0112945723094928 0.0147592854887727 -0.161446993448897
X100594_1 0.144246426962868 -0.150088483426841 0.0919169830388413 0.0303406870955222 -0.260699028632909 -0.391980693025099
X100650_1 0.231808655349679 -0.217295338084651 0.0137598335382355 -0.142633917257118 -0.0501407605546734 0.0967026995056709
X100697_1 -0.145953367261609 -0.0187325668286289 -0.0353707893725901 0.0545881274410246 0.198717372308944 -0.00244431666411013
X100770_1 0.261759734477465 -0.0863738263691933 -0.00845404566255953 -0.0871341375878273 -0.10700930577875 -0.0622165384895269
X10078_1 -0.0519716125286908 -0.197412212925288 -0.0344007461771367 -0.251282859303821 0.0138510682458497 -0.225619465517918
X100793_1 0.153680345950157 -0.153638770628923 -0.0348638984918855 -0.13372974153567 -0.124421889165017 -0.0153529546730497
X100796_1 0.326641052312458 -0.0394366708624824 -0.0359514532170874 -0.000305648618843336 -0.055420406691014 -0.0307125453716551
X100819_1 0.258906419998289 0.0613689600410284 0.191215758897819 -0.0673275071285604 -0.142305331440719 -0.117121617060764
X10086_1 0.0853472178085559 0.0323239164982075 0.189009174163463 0.00539539502869946 0.189666152686938 -0.052819798209932
X100915_1 0.0961745193715358 -0.203767124729348 -0.130114386098116 0.102398308110767 -0.109015087759534 0.00088512759956213
X100990_1 0.336003896732255 0.118566151579671 -0.11631266568514 -0.0454003197298405 -0.0866423001623712 0.0335353439199474
X101070_1 0.232198131364956 -0.0498086591464784 0.000916383712657594 -0.138157759636378 0.00871880314630803 -0.222591420235164
X101075_1 0.367048707365241 -0.0875219117432431 -0.186311668476409 -0.0554285206082023 0.0390477734303938 -0.00497790529512051
X101199_1 0.154428652623086 0.244779259874424 0.0801002911177213 0.120473493341822 -0.158273396860099 -0.210272015852534
X101252_1 0.250025553465015 -0.167574828405295 -0.106422541808209 -0.27710049892715 0.0873983073722932 -0.184659437171697
X101311_1 0.215563128413517 0.00124936115955653 0.0802967891686517 -0.0296584523634603 0.109833222330013 0.0116220229615301
X101319_1 0.161319336991041 -0.0170770967342762 0.0547099610608818 -0.0624308498768492 -0.115595348737895 0.0705400567201453
X101328_1 0.179285464798469 0.0147749342622484 0.168278019188533 -0.101485901507586 -0.0787944282973635 -0.11737003289644
X101332_1 0.150899188057786 0.174774679630093 0.00397944787994606 -0.0440236350639156 0.00517980721615574 0.0622209652837536
X101373_1 0.255485538255266 -0.149288351356416 -0.229990154409773 -0.224198743991976 0.0950012334131999 -0.142724502352131
X101374_1 -0.178395217715882 0.100634431405315 0.0957967980756956 -0.241816975290875 0.0600342333352297 0.0430684112953951
X101403_1 0.0964017488877044 0.0155855801810056 -0.0573705014186907 0.0997339950769223 -0.143617831410163 0.177571737765674
X101534_1 0.16196280071809 -0.150948623931723 0.02195250553757 -0.257281464516762 0.307344079705517 -0.245953961828466
X101608_1 0.0584481661339762 0.190352475050488 -0.00547201104587598 -0.0657340185926618 -0.193364889775481 0.124067465869838
X101723_1 0.235099471052618 0.00589337367296517 -0.0362756318548428 -0.0414126094689577 -0.0588178130091758 0.0881871984967497
X101859_1 0.304817759023108 0.0410683724467135 0.142365050869465 0.0883503302292074 0.0051423495612783 -0.0892714806304781
X101861_1 0.119473534956737 -0.0634621350839948 0.0409316179935586 0.0852086896814501 0.103466434300809 -0.192206330864381
X101913_1 0.0314958501463569 0.203063492546496 -0.168663551364122 0.0030057219585043 0.345793511981846 -0.0621525155021917
X101999_1 0.0926167421449589 0.28404791648269 0.0695741094155307 -0.163666607902164 -0.0402608013589174 0.0243603037978215
X102023_1 0.0846542166552995 0.13788479957671 0.0900968827402827 0.14371375401808 -0.140671978767218 0.0399189778263367
X102060_1 0.316045066469266 -0.0417519808818698 0.0956553332216124 -0.091529345711493 0.0246471874352075 0.0240218490050312
