PC1 PC2 PC3 PC4 PC5 PC6
12460.s1 0.243987199824574 -0.0703896756048931 -0.0713395162493586 -0.330097130023138 0.0238671454690821 -0.10462717151024
11010.s1 0.415749661069899 0.0156227263944641 0.00247189264313157 0.179865690845309 0.0462320899676689 -0.39829574127236
13296.s1 0.212289318945019 -0.062651001816122 0.0623803018248171 0.127225481963921 0.214827219390585 -0.148522956926373
11404.s1 0.169735006041193 -0.139955278336528 0.17967040344718 0.023206545564909 -0.0799775954867579 -0.168095613466869
3886 0.185229233619422 0.0438188186659374 0.130345908357586 0.0634373726204232 0.0468062458637761 -0.170259367449368
142888 -0.00710608488074052 -0.026227392826667 0.116112983840959 -0.169271403610637 -0.022181345064219 -0.122931211692805
13332.s1 -0.138626072943465 0.534796832923813 0.0692289044349742 0.0112972781900167 0.0171943385192426 -0.0348037982029239
11350.p1 -6.15682169889057e-05 0.324122654364757 -0.0234181266412818 0.0825672890931457 -0.0555212063958032 0.0543742861264326
8489 0.15211953031526 0.050571281864364 -0.177415674675062 -0.0879095281509824 -0.0510603276976298 -0.0604015558745678
13562.s1 0.426844352199762 0.00435045638376314 0.213475213855972 -0.193105557908326 0.0573943640924366 0.0689371586066601
11417.p1 -0.14744880929385 -0.0401404589809684 0.296177164823394 -0.129463893890962 0.173002808972338 0.0631121920595813
13385.p1 -0.0572833843108414 0.0973022302325101 0.226366789265804 0.00256034927079903 0.141775782414262 -0.0991531055154689
12984.p1 0.0923459155202285 0.0751011719216968 -0.0316413497706723 0.0791517064751467 -0.03310563476679 0.0180502315029716
44885 0.0886054878598584 0.114390330241212 -0.233196279722955 0.1122529810816 0.0661628169460761 -0.0312738157645657
11276.s1 0.0942014979325871 -0.124532628902158 -0.0874458063275937 0.294277361688247 -0.00887065082116014 -0.0870564238001268
72288 0.29166061310353 -0.028998308363142 0.118162662068171 -0.27512338272017 -0.10062556772669 -0.156066218428831
14402.p1 -0.0502253002142584 -0.0956474272170102 0.0793395999494372 0.231908923669987 -0.0346530396494999 -0.078118296014021
11724.s1 0.15505625523049 -0.0536438291150109 0.0651936798250847 0.15158342534507 0.0330793776626545 -0.172626773666045
11839.p1 0.0107847856782407 0.0839656430613703 0.0595783507751308 -0.0537804200785861 0.112464555675799 -0.0855484438274852
21501 0.179002176819002 0.240277109193459 0.0595612104657132 0.0471959853442111 0.0999701655731474 -0.0199877856220675
14037.p1 -0.0342193918585318 0.0711108808921801 0.0983206944407336 -0.0629396847378037 -0.190411808751939 -0.216016126958212
12550.s1 -0.0885981233323329 -0.155396839876005 -0.104567945834129 -0.15719817343261 -0.0320687102197395 -0.168563318633867
13016.p1 0.198874864546902 -0.258252298150446 -0.0995456383838014 -0.199657300735267 0.0944620768698823 -0.139415293514905
32514 0.0219265397760912 -0.159363526104577 0.116420416004596 -0.0111219243138334 -0.0513848467053566 -0.03513246411635
12529.p1 0.230447339435561 -0.026121488523309 -0.0940816133931742 0.110316632026672 0.147410190209704 -0.147184768399118
38568 0.0981088068630552 -0.101562419647023 -0.0476192448491314 -0.0134091133719384 -0.0984641182650806 -0.129861042339765
12359.p1 0.154529832270225 0.101805179373327 0.0593138598868705 -0.12182893126026 -0.368199992207485 0.0789722644612758
13746.p1 0.0493237587179795 0.287281290899277 -0.00491830419602656 0.00331369875460702 -0.0385677483368062 0.0622422756225748
13889.p1 0.0639569320544847 0.19215971620534 0.202284982463135 0.210544005858083 0.236761317312977 0.0191102688050748
7638 0.123681246627007 0.0351636109812 -0.216878859427325 0.0056244507253439 0.0247741463698524 -0.106439393040389
11766.s1 0.211836381832015 0.0579814413762232 0.127519768240404 -0.0450405840265363 -0.103547001567251 -0.0816617211979083
13301.s1 0.0770952742577534 0.0629487074321105 -0.00367268500761976 -0.130815848745503 0.0963653929394623 -0.0354042101410913
57251 0.199012869527528 0.0384064197736233 -0.0467158897942064 0.0444680361464881 0.0811563327851864 -0.0898608416316302
106627 0.189473972594316 -0.0157434458713685 0.0835943081124427 -0.151344053878266 -0.0391651719586203 -0.0181482954571437
14500.p1 -0.0182483547424193 0.0134495320175353 -0.0340578123885314 -0.131185355478177 0.15770723547287 0.137979748329708
14313.s1 0.0953218086414589 0.401880576606007 -0.0829362037455353 -0.0133821130579223 -0.365416232719404 0.134899650829815
132302 0.247802397672758 0.0591428814033198 -0.0341428542710267 -0.150771213307052 0.216204079846769 0.0862276794384994
39931 0.268850741138885 -0.113129682224474 -0.0729532720457306 -0.0364573549491258 0.124504032764873 -0.167991622331327
12460.p1 0.217559151831465 -0.189524174786657 0.0889615649886862 -0.0707154898846855 0.0461709381316537 -0.206105940599387
13534.p1 0.170100155154455 -0.00552593452378591 0.0551932735987574 -0.197051240334515 -0.103445931300813 -0.0296113588060913
12728.s1 0.426472396383449 0.0940222366464171 -0.132686595782002 -0.212321355260707 -0.0237104098652786 -0.0687867212686029
47490 0.0663281327623311 0.0651478115703025 0.271039577572117 0.0275879124950778 0.0151058049196624 -0.045641616340438
75870 0.269245426090293 0.0724338301535981 0.153650511038674 -0.0226325104940426 0.044077404474841 0.00171840673221337
109099 0.237103068181702 -0.147997887947251 0.0286755469473463 0.00979453131444072 0.152260364260297 0.118718825400541
11458.p1 0.0845993407098401 0.0150967763639654 -0.122776752008718 -0.108480041650126 0.0669764268200612 -0.137711795920157
13905.p1 0.265313764582465 -0.170924298845046 -0.0367972338105554 -0.00767759220378631 0.163175322997059 0.196403720301658
12764.s1 0.185471981219364 -0.0287749111713316 -0.00874977215661795 -0.0245150286472668 -0.25353234878096 -0.00163733459241628
11563.p1 0.209877622168509 0.115074058782197 0.287316257895058 -0.0513196090511059 -0.0459319734392725 -0.114687713818681
13870.s1 0.367253244906478 0.12915663700642 0.0246340937570071 0.0232610585825887 -0.0531633187218432 -0.213085567317928
12618.s1 0.250134900288092 -0.0356257422532761 -0.0367347055200385 0.00872233430849421 0.131353682138243 -0.0689922383502186
11348 0.0267666824998103 0.00410106411466787 -0.203139612584799 -0.114361243198733 -0.0660147675675831 -0.306957379577814
55462 0.271671712626095 0.0068933562228503 0.151545242159179 -0.0765038797190065 0.0267240743735638 0.125354329244609
14253.s1 0.133612043933177 -0.071312408972735 0.213136645022419 0.0377016292225755 -0.0384255171512806 -0.22395008233654
14358.p1 0.244309163478525 -0.0551943809819627 0.107596447217089 0.153506664542721 0.080257056781934 -0.315171257022024
14557.s1 0.0462108384872086 -0.110483002447739 -0.216779303879242 -0.0195846187519545 -0.0117263346167871 0.101130886368039
115679 0.143398119499687 0.127677854221693 0.0481657161621065 -0.317197473004769 0.262911841534945 0.085572606766445
78474 0.280497110481226 -0.208201147353855 -0.107814180782931 -0.282667556538774 -0.0613931581588133 -0.117192135381375
27572 0.134043154635912 0.0367826614693617 -0.037645008494494 -0.0326812467850022 -0.0491213650551148 -0.144560258152756
13006.p1 0.302204127699733 -0.0186391846247075 0.0894949558348222 -0.125387119456702 -0.13021578189754 0.0398210714251596
91198 -0.00147505146667229 0.336117518406891 0.154944396114716 0.184128436410906 0.00978390343560612 -0.0199364953956547
52291 0.0976957035931978 0.00997746875407669 0.00868380899529241 -0.162495303988469 0.00832738664673187 -0.145152660125044
12405.p1 0.100240628475506 -0.0277081453496894 -0.005231358226591 -0.0600353186715427 0.121424017255879 -0.275085683088825
61306 -0.164946760252357 -0.261623779460579 0.046411023476922 0.167437972577054 -0.183115628713247 0.034542184529197
14660.p1 0.31138918082864 0.0240734602089203 0.0100742659818377 0.0780959064956952 -0.0291692561972607 -0.128756982611521
14660.s1 -0.037876372580142 0.168811295621314 0.137006654092202 -0.0217323921262236 0.125744405665403 -0.0515344578262273
9165 0.212668303461229 0.197512108596402 0.0591930449706701 -0.0288886922586447 -0.0442529372000546 -0.046259898877029
79709 0.13042869949345 0.00821587947090217 -0.0116827430895323 -0.0504473927660933 -0.0411014266868783 0.117737813930907
80320 -0.0282412978668165 0.0856772596935723 0.00792551984183521 0.0456178105681123 -0.00468646770338438 -0.00669026076290874
13529.p1 0.236931704424429 0.0455717645391551 -0.057545957829736 -0.0937389868757014 0.0883635855017922 -0.0176919424440547
20181 0.189462658500214 0.0593025113605387 0.0687430878263562 -0.0549736336259496 0.142406433947506 0.0432242581398845
17637 0.444990990436965 -0.292333536035753 -0.0286906222273676 -0.306858034668533 -0.208914169479426 -0.126665361483657
112510 0.189967724542213 -0.0622069759752878 0.0149755596929338 0.0118329578455837 0.0895130375516702 -0.0413365637106973
13733 0.216184272523591 -0.0900644417597918 -0.00682604407903345 -0.0420749085055158 0.0881252155493345 -0.0661887021325389
151159 0.100036719334957 -0.0673077989349846 0.0966490515826336 -0.0836897136032329 -0.0681228830411799 -0.157067852398875
117882 -0.0103215299486248 -0.0547881443795393 -0.0559634054359458 -0.0600264335029464 0.138957850562867 0.037121437554305
108759 0.0924440393047793 0.163872420938846 0.018062237509221 0.0399418269552801 -0.0487938610179933 -0.181633369905929
10327 0.133988370679559 0.123154822189061 0.239134579043654 0.000280999695064857 -0.282909719960058 0.0861520020946613
13095.p1 0.30582694740271 -0.169713834338709 0.25285192766542 -0.391390866536046 -0.00701212787275372 0.00178946441650562
132575 0.0964021291341478 0.0438764376162742 -0.208016676454536 0.0754283545647089 -0.0189504853833529 -0.172075002918782
30330 0.00857887839867721 0.128062690267731 0.114315528125231 -0.0654152175363902 0.124431657141127 -0.00901316706971829
28315 0.177227469078069 -0.032819617035858 0.0547154823474973 -0.0839445256263049 0.00460704322792509 -0.0232574596655135
30471 0.203437816541967 0.175113473579572 -0.133094001661168 -0.084639602750602 0.0143973271630177 0.0155330027520788
14221.s1 0.113159209591769 -0.199636094028214 0.179536262008487 -0.07756069495514 0.0635017986874986 0.304798638747975
13390.p1 0.136480407255117 -0.106679788771385 -0.0753328306829324 0.116694238667924 -0.198900675859394 -0.109288296062824
12939.p1 0.155496842881677 -0.0787505891511777 0.111681537222901 -0.0332321073660812 -0.0716847978954453 -0.136130431062336
12845.p1 0.323142532674753 -0.251881979337738 0.0720673180259746 -0.0775639727308324 0.100405592693206 0.0155667677430487
46025 0.224458207668032 0.258868429467284 0.165438074926575 0.0293765942629358 0.0788153619093569 -0.066578191216516
138593 -0.0845735722952586 -0.0139832387921744 0.240702524749882 -0.210340736695435 -0.0557428936359759 -0.0982618385147567
13763.s1 0.0616823875242919 0.181881373228678 0.176010204135245 0.0766543765120243 0.193896125176662 0.0154946721675211
4053 0.118294318499863 -0.123783098792681 -0.11283772161867 0.0304714274750815 -0.0668361823232951 -0.0886368816579827
14168.s1 0.273955368182271 -0.195535505285077 -0.239924092161025 -0.147336768462435 0.0751985858876863 -0.154983981406305
14025.s1 0.0567151837138669 -0.100713145830886 0.102892398405946 -0.150138996516632 -0.075694787318409 0.192898754794155
11412.p1 0.309328493395187 -0.0601100524764975 0.0539646013595927 0.0974301508248938 -0.0499964032060103 -0.10364127322019
11037.s1 -0.215434839620312 0.381634706300694 -0.0440500271773277 0.0462695599070763 0.016063310870425 0.117914142928066
74707 0.0908457357568223 -0.250521880490783 0.033661025244553 0.0066464233536718 -0.289639342763519 -0.26192055412082
53708 0.329180972585777 -0.182487159421313 -0.0588511555558489 -0.0149111997704731 -0.110878297925305 -0.265842051063544
22252.s1 0.0114483400167675 -0.124520611772899 -0.0388992477545059 -0.17908311743421 0.0906248575179751 -0.0743061895169183
11364.s1 0.210436719172345 0.0204711717573822 0.181038976210256 -0.118026949018482 0.142070237439891 0.00438314087469018
13417.p1 0.119844508648384 0.132430254854594 0.0667287452704111 -0.159000154278385 0.0731094723773647 -0.138965827202999
11804.p1 0.0757940564572762 0.0226849968301014 0.170355477645914 0.0572082502549965 -0.160200650730252 0.202593585441786
11057.s1 0.216842819024339 -0.0148065685952618 0.0654180208651093 -0.0535742824246917 -0.169459323919285 0.125926461310455
61856 0.0435669150150253 0.162070858322983 0.01448729498376 0.0305343636890823 0.190981576209122 -0.0238333250260114
25400 -0.0170310601287957 0.288105710512468 0.0932254297350184 -0.178416356086375 -0.000103928410294644 0.0195689985486054
125595 0.0604193478161284 -0.195032130489879 0.144535895074584 -0.102730739296279 0.200678177994944 -0.0278215384616214
102346 0.17730993676166 -0.0712147284411973 -0.106907949224815 0.0975035709468681 -0.249178653715295 -0.178103217368716
141757 0.250137995732397 -0.0351525470763262 -0.0155512044484717 -0.0767123880468032 -0.154228825561082 -0.0545050434882354
12053.s1 -0.349251983727039 0.207947420092432 0.128232357826701 -0.0377761573802276 0.0883555245686388 0.212170596958596
14208.p1 -0.203925802533048 -0.179451361017187 0.0950306406868622 0.124184659735352 -0.1686311357643 -0.192455382657592
95910 0.172175460226808 0.0536923575553088 -0.0313367985271944 -0.0120541334871531 0.0372973832552127 -0.1617541629767
30219 0.314937545805549 0.138884227591989 0.0880725118509901 0.111446684838402 -0.0047058181883779 0.0226926583523889
49640 0.278907338121706 -0.126490367624965 -0.0318087458852066 -0.115516623280763 0.044263523374512 -0.124465125381587
25742 0.0786745112785792 -0.128234849854822 0.090142903895382 -0.108827619685844 -0.0429812073236388 -0.190478536523229
