PC1 PC2 PC3 PC4 PC5 PC6
X100072_1 -0.0275758464179141 0.499200338883409 0.0745022020904508 0.00836576508412827 -0.01504430875613 0.00230420712204793
X100079_1 0.187316230290608 -0.108747409028619 0.20857731099792 0.0277810335289301 0.186267146329457 0.0495836210438497
X100082_1 0.0325228312657888 -0.132411237814981 0.185503703112251 -0.295293890659054 0.163206112523288 -0.15890131408067
X100085_1 -0.0454836308158779 -0.117200959297263 0.124658453223171 -0.0188926597951448 0.0854113002772474 -0.169829172417821
X100124_1 0.285880604732385 0.0354611955037377 -0.0774717460799166 -0.00382992251697181 0.0207689748856457 -0.139799604827931
X100133_1 0.12456060782888 -0.318274433259887 0.155946216873371 -0.0356691982810685 -0.044990337944799 0.000779048464133249
X100148_1 0.278640087410408 0.0309987745855172 -0.0414678934093591 0.0290034822744755 -0.0982877645749103 -0.165756243397274
X100318_1 0.29784882998988 0.0861518733619912 0.0704554635287959 0.063134067120074 -0.12685788139368 -0.0275838561586184
X100416_1 0.249818112891949 0.0288073242488479 0.148451731769447 -0.0769536775932081 0.161926280328056 0.012046217545848
X100502_1 0.229102764287917 0.0287954376148913 0.216537774609294 -0.0885662330536477 0.00210839645411145 -0.116867915855175
X100516_1 -0.100811370270154 0.248507277607521 0.098048182776388 -0.200055119071162 0.118976099859727 -0.1700087102894
X100594_1 0.266766816766203 -0.459726727506674 0.412434400806881 -0.0921919927211455 -0.154265696677566 -0.0730230737653428
X100650_1 0.102319855030649 0.23297432782024 -0.0629782519269071 0.083755076524757 0.105311855538344 -0.149479967929474
X100697_1 0.252463549129176 -0.0409396264384471 0.0995707825732874 -0.0276284076805279 0.0711042786572513 -0.287719845593377
X100770_1 0.193180468043406 -0.175745356202806 0.110693079394103 -0.0169262776188835 -0.120253537996346 -0.1069195188296
X10078_1 0.0192411937390523 -0.142138363661024 0.128576624375107 0.0826231367741445 0.16013837102724 0.0243808679215082
X100793_1 0.314508759209338 -0.0293430759787236 -0.030582192008422 -0.0279972731021974 -0.0687498910149833 0.0389851842311665
X100796_1 0.290777810653854 -0.076113778262816 0.0137452050008843 0.0741542370542258 -0.204730823156405 -0.0329463657705312
X100819_1 -0.152215666504058 -0.200165756407587 0.170765703467488 0.145901618277823 -0.148296596168709 -0.196067120351972
X10086_1 0.136504753017381 0.021534671787423 0.126729868214577 0.0127323682915439 -0.0602760399495377 -0.0543489434601368
X100915_1 0.362959629440717 -0.00897507849384707 0.208741066098911 -0.238460982325816 -0.0132711267336385 -0.00145213524996487
X100990_1 0.135519137354822 -0.10004574731215 0.165006294489028 -0.11727120993104 0.0894193071830111 0.0541353685252568
X101070_1 0.0939491024281322 0.0844256121089124 -0.010266171923176 -0.178506499891327 -0.0913313774713964 -0.281387197345347
X101075_1 0.27128200588172 -0.0450486107464579 0.292377642565744 0.197302731527088 0.0178930088148761 -0.242922159873987
X101199_1 0.1869619321539 -0.040626225079796 -0.178326032261182 -0.198176275724495 -0.0493771270440887 -0.0343772909269083
X101252_1 0.0574697684276683 -0.0265302321062504 0.093157840572939 0.099316738981107 -0.0572585591109066 -0.0575433514290893
X101311_1 0.0905819305534604 0.0847193061849915 -0.00778432967553752 -0.0793848655409716 0.154143590909559 -0.182117189224795
X101319_1 0.0983127359730102 0.135927995097414 0.0189023460854536 -0.058901749220535 0.136993127852722 0.220489544496565
X101328_1 0.217737088197786 -0.0280817329775116 0.0334968432699682 0.18638316897759 0.0541264468020279 -0.116819712761616
X101332_1 0.277703032778026 0.101219134639466 0.141206842242636 -0.146217892299153 -0.0200390826502474 -0.109383093989258
X101373_1 0.200638476208578 -0.044484310076768 -0.0703803932761354 -0.234472420378665 0.0294495674529682 -0.0942940795723849
X101374_1 0.193727317819324 -0.0185679094649011 0.140605953927734 -0.0260633938426339 -0.143593722955296 -0.161612303136353
X101403_1 0.188009817912865 -0.100670131826074 0.066992091184657 0.0543699684333568 -0.265337804477103 0.0635359223563371
X101534_1 0.407949868885434 -0.0296094708583292 0.0462818236371711 -0.0472990022142642 0.0966172769161771 -0.0324993434029009
X101608_1 0.215624791933763 0.0989458050622876 -0.261991730092069 -0.0442919433796769 -0.174058712861811 -0.0105472851564894
X101723_1 0.127173981057871 -0.052759206387636 -0.0743464406883079 -0.0204425884609089 0.0902671104361273 -0.0194166649125471
X101859_1 0.252927502879889 0.0749582735448597 0.012797698255588 -0.0272690927464147 -0.0668126657137223 -0.0755787531538026
X101861_1 0.132901517455762 0.241695042342119 0.0811976428609738 -0.174107673884111 0.0404143272791239 0.343558783322155
X101913_1 0.286731700817044 0.0653005975398154 0.283359423607476 -0.128630398954303 0.0924154452052259 0.0782831510242371
X101999_1 0.246060224726714 -0.250979497705627 0.119564785885414 -0.00391679032587547 -0.148808734915197 0.0140680002800941
X102023_1 0.110743948890132 -0.236861960499526 0.144161505406904 0.0166701144878847 -0.0246513863936216 -0.103502053626934
X102060_1 0.285476189421359 0.125369519166613 -0.160454735321629 0.0283744213453954 0.0623429520480845 0.0866746816932989
X10223_1 0.253132642033588 0.0240771070888451 0.10058893078503 -0.217277907126494 -0.1209980880919 -0.0525179695553054
